Nome,Ticker,Setor,Indústria,Preço
BRF S.A.,BRFS3,Bens de Consumo,Packaged Foods,21.8
"B3 S.A. - Brasil, Bolsa, Balcão",B3SA3,Serviços Financeiros,Financial Data & Stock Exchanges,14.44
Ambev S.A.,ABEV3,Bens de Consumo,Beverages - Brewers,13.42
Cogna Educação S.A.,COGN3,Bens de Consumo,Education & Training Services,2.85
Banco do Brasil S.A.,BBAS3,Serviços Financeiros,Banks - Regional,21.85
Azul S.A.,AZUL4,Industrial,Airlines,0.89
Lojas Renner S.A.,LREN3,Bens de Consumo Cíclico,Department Stores,19.44
Banco Bradesco S.A.,BBDC4,Serviços Financeiros,Banks - Regional,16.4
Petróleo Brasileiro S.A. - Petrobras,PETR4,Energia,Oil & Gas Integrated,32.26
Banco BTG Pactual S.A.,BPAC11,Serviços Financeiros,Capital Markets,41.1
Itaúsa S.A.,ITSA4,Industrial,Conglomerates,10.81
Magazine Luiza S.A.,MGLU3,Bens de Consumo Cíclico,Specialty Retail,8.84
Minerva S.A.,BEEF3,Bens de Consumo,Farm Products,5.58
Raia Drogasil S.A.,RADL3,Saúde,Pharmaceutical Retailers,14.27
Itaú Unibanco Holding S.A.,ITUB4,Serviços Financeiros,Banks - Regional,36.57
Embraer S.A.,EMBR3,Industrial,Aerospace & Defense,80.79
Cosan S.A.,CSAN3,Energia,Oil & Gas Refining & Marketing,6.79
Vibra Energia S.A.,VBBR3,Bens de Consumo Cíclico,Specialty Retail,21.82
Raízen S.A.,RAIZ4,Utilidade Pública,Utilidade Pública - Renewable,1.64
"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",VAMO3,Industrial,Rental & Leasing Services,4.0
Azevedo & Travassos S.A.,AZEV4,Industrial,Engineering & Construction,0.59
Braskem S.A.,BRKM5,Materiais Básicos,Chemicals,10.13
Vale S.A.,VALE3,Materiais Básicos,Other Industrial Metals & Mining,54.03
Companhia Energética de Minas Gerais - CEMIG,CMIG4,Utilidade Pública,Utilidade Pública - Diversified,10.76
WEG S.A.,WEGE3,Industrial,Electrical Equipment & Parts,40.02
Companhia Brasileira De Distribuicao,PCAR3,Bens de Consumo Cíclico,Department Stores,3.2
Rumo S.A.,RAIL3,Industrial,Railroads,17.75
Petróleo Brasileiro S.A. - Petrobras,PETR3,Energia,Oil & Gas Integrated,35.32
Marcopolo S.A.,POMO4,Industrial,Farm & Heavy Construction Machinery,8.33
Telefônica Brasil S.A.,VIVT3,Serviços de Comunicação,Telecom Services,31.43
Cyrela Brazil Realty S.A. Empreendimentos e Participações,CYRE3,Bens de Consumo Cíclico,Residential Construction,25.78
Motiva Infraestrutura de Mobilidade S.A.,MOTV3,Industrial,Infrastructure Operations,13.45
CVC Brasil Operadora e Agência de Viagens S.A.,CVCB3,Bens de Consumo Cíclico,Travel Services,2.43
Usinas Siderúrgicas de Minas Gerais S.A.,USIM5,Materiais Básicos,Steel,4.34
