"Ticker","Nome","Negócios","Última (R$)","Variação"
"BRFS3","BRF","50.158.600","22,50","+1,67%"
"B3SA3","B3","43.324.400","14,48","-0,75%"
"ABEV3","Ambev","31.299.800","13,31","-0,52%"
"COGN3","Cogna","30.995.300","2,76","-2,82%"
"BBAS3","Banco do Brasil","30.185.400","21,45","-2,50%"
"AZUL4","Azul","25.235.100","0,86","-4,44%"
"LREN3","Lojas Renner","24.047.700","19,40","+0,52%"
"BBDC4","Banco Bradesco","22.687.500","16,36","-1,15%"
"PETR4","Petrobras","22.338.900","32,32","-0,62%"
"BPAC11","Banco BTG Pactual","21.627.200","41,16","+0,39%"
"ITSA4","Itaúsa","19.543.000","10,70","-2,01%"
"MGLU3","Magazine Luiza","19.145.400","8,55","-3,93%"
"BEEF3","Minerva","17.550.900","5,48","-3,18%"
"RADL3","RaiaDrogasil","16.589.800","13,81","-2,75%"
"ITUB4","Itaú Unibanco","15.624.400","36,37","-2,07%"
"EMBR3","Embraer","15.038.900","78,21","-3,62%"
"CSAN3","Cosan","14.897.100","6,61","-4,06%"
"VBBR3","Vibra Energia","14.778.300","21,79","-0,77%"
"RAIZ4","Raízen","14.574.800","1,61","-3,59%"
"VAMO3","Grupo Vamos","13.615.700","3,99","+2,31%"
"AZEV4","Azevedo & Travassos","12.863.300","0,60","+3,45%"
"BRKM5","Braskem","12.545.800","9,86","+6,02%"
"VALE3","Vale","12.209.400","54,04","-0,99%"
"CMIG4","Cemig","11.792.400","10,64","-3,27%"
"WEGE3","WEG","11.678.900","40,11","-1,23%"
"PCAR3","Grupo Pão de Açúcar","11.447.000","3,15","-0,32%"
"RAIL3","Rumo","10.796.700","17,46","-3,75%"
"PETR3","Petrobras","10.288.600","35,27","-1,45%"
"POMO4","Marcopolo","9.839.000","8,11","-0,98%"
"VIVT3","Vivo","9.602.800","31,68","+0,38%"
"CYRE3","Cyrela","8.922.000","25,79","+0,47%"
"MOTV3","Motiva","8.903.100","13,44","-1,10%"
"CVCB3","CVC","8.170.600","2,33","-4,51%"
"USIM5","Usiminas","8.082.700","4,24","-3,20%"
"BRAV3","3R Petroleum","7.989.800","18,05","-1,20%"
"BBDC3","Banco Bradesco","7.499.900","14,06","-1,06%"
"PRIO3","PetroRio","7.392.900","42,57","-1,18%"
"RENT3","Localiza","7.198.900","37,33","-2,48%"
"CPLE6","Copel","7.098.500","12,01","-1,48%"
"EQTL3","Equatorial Energia","6.688.300","34,70","-1,50%"
"AZTE3","AZT Energia","6.673.800","0,66","+3,12%"
"ASAI3","Assaí","6.554.400","10,37","-1,05%"
"MRFG3","Marfrig","6.060.800","22,56","-4,73%"
"RDOR3","Rede D'Or","6.002.800","34,03","-2,10%"
"ELET3","Eletrobras","5.864.200","39,70","-0,28%"
"SRNA3","Serena Energia","5.788.900","11,65","-0,09%"
"GGBR4","Gerdau","5.747.000","16,79","-0,53%"
"CSNA3","Siderúrgica Nacional","5.386.600","7,93","-2,58%"
"GOAU4","Metalúrgica Gerdau","5.307.200","9,41","-0,21%"
"SLCE3","SLC Agrícola","5.227.800","18,00","-2,07%"
"RECV3","PetroRecôncavo","5.062.900","13,94","-5,36%"
"HAPV3","Hapvida","4.843.100","33,63","-2,01%"
"DXCO3","Dexco","4.744.300","5,47","-2,15%"
"AZZA3","Arezzo","4.716.300","37,00","-4,39%"
"LWSA3","Locaweb","4.713.000","3,98","+1,02%"
"OIBR3","Oi","4.583.300","0,59","-6,35%"
"BHIA3","Casas Bahia","4.531.700","3,03","-2,26%"
"CBAV3","CBA","4.483.200","4,80","-2,83%"
"MRVE3","MRV","4.467.600","6,00","-1,80%"
"TIMS3","TIM","4.433.800","21,53","-1,42%"
"CMIN3","CSN Mineração","4.364.200","5,01","-2,15%"
"ENEV3","Eneva","4.347.600","13,40","-0,81%"
"CURY3","Cury","4.124.300","30,23","+0,23%"
"RCSL4","Recrusul","4.001.100","0,95","+0,00%"
"AZEV3","Azevedo & Travassos","3.990.100","0,59","+11,32%"
"GMAT3","Grupo Mateus","3.980.800","7,95","-2,09%"
"KLBN11","Klabin","3.904.900","18,51","-0,70%"
"ALOS3","Allos","3.789.200","21,96","-1,70%"
"GGPS3","GPS","3.758.200","16,18","-1,10%"
"CXSE3","Caixa Seguridade","3.689.400","14,46","-0,89%"
"SUZB3","Suzano","3.631.300","50,00","-1,83%"
"ODPV3","Odontoprev","3.507.700","11,20","-0,80%"
"CPLE3","Copel","3.503.800","11,27","-1,05%"
"BBSE3","BB Seguridade","3.470.100","35,22","-1,59%"
"MOVI3","Movida","3.393.400","6,47","-1,37%"
"PETZ3","Petz","3.393.400","3,70","-1,07%"
"SIMH3","Simpar","3.368.000","4,63","-1,28%"
"ANIM3","Ânima Educação","3.177.700","4,20","-0,94%"
"MULT3","Multiplan","3.155.300","26,63","-1,30%"
"UGPA3","Ultrapar","3.138.700","17,64","-0,40%"
"CSMG3","COPASA","2.984.700","26,89","-2,54%"
"TOTS3","Totvs","2.797.800","42,11","+0,91%"
"JHSF3","JHSF","2.704.800","5,20","-0,95%"
"YDUQ3","YDUQS","2.697.700","15,13","-2,76%"
"FLRY3","Fleury","2.677.900","12,85","-0,54%"
"SANB11","Banco Santander","2.631.100","28,60","-1,55%"
"HBOR3","Helbor","2.611.700","2,13","+6,50%"
"CASH3","Méliuz","2.552.300","6,77","+2,73%"
"SMFT3","Smart Fit","2.549.700","22,85","-0,48%"
"ONCO3","Oncoclínicas","2.541.800","5,36","+1,13%"
"ECOR3","EcoRodovias","2.420.800","7,02","-1,54%"
"LJQQ3","Lojas Quero-Quero","2.417.300","2,54","-2,68%"
"VIVA3","Vivara","2.333.000","26,25","-0,79%"
"LIGT3","Light","2.327.900","5,92","-5,13%"
"AURE3","Auren Energia","2.222.400","9,45","-1,46%"
"IGTI11","Iguatemi","2.134.000","22,61","-1,78%"
"IGTI11","Jereissati Participações","2.134.000","22,61","-1,78%"
"PSSA3","Porto Seguro","2.122.000","52,88","-2,69%"
"SBSP3","Sabesp","2.068.500","113,50","-0,73%"
"ENGI11","Energisa","1.950.900","46,64","-1,50%"
"BRAP4","Bradespar","1.927.700","16,16","-1,16%"
"RAPT4","Randon","1.907.300","8,55","-1,27%"
